time,total_mem,dirty,cache,used_mem
0,268600,0,0,0
0,268600,0,0,0
215.05376344086022,268600,0,100000,200000
370.0537634408602,268600,0,100000,200000
393.84212322922,268600,67440.0,168600.0,268600.0
440.0752688172043,268600,67440.0,168600.0,268600.0
440.0752688172043,268600,67440.0,168600.0,168600.0
454.1597758594578,268600,60890.704225352114,168600.0,268600.0
609.1597758594578,268600,0.0,168600.0,268600.0
632.9481356478176,268600,67440.0,168600,268600
679.1812812358019,268600,67440.0,168600.0,268600.0
679.1812812358019,268600,67440.0,168600.0,168600.0
679.1812812358019,268600,67440.0,157538.4126984127,236040.0
725.4144268237861,268600,67440.0,179036.82539682538,279036.8253968254
880.4144268237861,268600,0.0,179036.82539682538,279036.8253968254
904.2027866121459,268600,67440.0,168600.0,268600.0
950.4359322001302,268600,67440.0,168600.0,268600.0
